,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score,Net Earnings
1117,Six-String Samurai ,1998,Action|Adventure|Comedy|Drama|Music|Sci-Fi,English,USA,PG-13,91,1.85,2000000.0,124494.0,Lance Mungia,Jeffrey Falcon,Stephane Gauger,Kim De Angelo,4,33,3,0.0,36,0,1,5613,102,51.0,6.7,-1875506.0
1118,Slam ,1998,Drama,English,USA,R,100,1.85,1000000.0,982214.0,Marc Levin,Sonja Sohn,Saul Williams,Bonz Malone,12,245,38,6.0,295,603,0,1976,51,16.0,7.2,-17786.0
1119,Sliding Doors ,1998,Comedy|Drama|Fantasy|Romance,English,UK,R,99,1.85,9000000.0,11883495.0,Peter Howitt,Jeanne Tripplehorn,Kevin McNally,John Lynch,29,711,427,161.0,1462,0,1,52805,278,88.0,6.8,2883495.0
1120,Slums of Beverly Hills ,1998,Comedy|Drama,English,USA,R,91,1.85,5000000.0,5480318.0,Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,84,1000,778,572.0,2691,462,0,9427,79,60.0,6.6,480318.0
1121,Small Soldiers ,1998,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG-13,108,2.35,40000000.0,53955614.0,Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo,287,4000,835,823.0,8610,0,0,77415,139,100.0,6.1,13955614.0
1122,Smoke Signals ,1998,Comedy|Drama,English,Canada,PG-13,89,1.85,2000000.0,6719300.0,Chris Eyre,Michael Greyeyes,Irene Bedard,Gary Farmer,149,912,752,580.0,3163,0,3,8224,132,56.0,7.2,4719300.0
1123,Snake Eyes ,1998,Crime|Mystery|Thriller,English,USA,R,98,2.35,69000000.0,55585389.0,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,0,12000,854,697.0,15269,880,1,64121,241,117.0,5.9,-13414611.0
1124,Soldier ,1998,Action|Drama|Sci-Fi,English,UK,R,99,2.35,75000000.0,14567883.0,Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,545,933,722,533.0,2542,0,1,44248,373,67.0,6.0,-60432117.0
1125,Sphere ,1998,Drama|Mystery|Sci-Fi|Thriller,English,USA,PG-13,134,2.35,75000000.0,36976367.0,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,272,548,270,215.0,1044,0,3,81611,274,108.0,6.0,-38023633.0
1126,Star Trek: Insurrection ,1998,Action|Adventure|Sci-Fi|Thriller,English,USA,PG,103,2.35,58000000.0,70117571.0,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,906,1000,906,748.0,6207,1000,0,56741,515,160.0,6.4,12117571.0
1127,Stepmom ,1998,Comedy|Drama,English,USA,PG-13,124,2.35,50000000.0,91030827.0,Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,0,8000,818,701.0,9988,0,2,46482,252,65.0,6.7,41030827.0
1128,Stiff Upper Lips ,1998,Comedy,English,UK,R,94,1.85,3.0,69582.0,Gary Sinyor,Sean Pertwee,Frank Finlay,Samuel West,0,722,338,136.0,1477,109,2,867,21,12.0,6.4,69579.0
1129,Tango ,1998,Drama|Musical,Spanish,Spain,PG-13,115,2.0,700000000.0,1687311.0,Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,98,341,26,4.0,371,539,3,2412,40,35.0,7.2,-698312689.0
1130,Taxman ,1998,Action|Comedy|Crime|Thriller,English,USA,R,104,1.37,1000000.0,3.0,Avi Nesher,Fisher Stevens,Elizabeth Berkley,Robert Townsend,6,922,893,467.0,2406,18,6,372,20,5.0,5.5,-999997.0
1131,The Big Hit ,1998,Action|Comedy|Crime|Thriller,English,USA,R,91,1.85,13000000.0,27052167.0,Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,6,904,471,459.0,3353,934,5,24834,168,57.0,6.1,14052167.0
1132,The Big Lebowski ,1998,Comedy|Crime,English,USA,R,117,1.85,15000000.0,17439163.0,Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,0,22000,12000,12000.0,47728,35000,1,537419,1028,249.0,8.2,2439163.0
1133,The Big Swap ,1998,Drama,English,UK,3,114,1.33,3.0,3.0,Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,7,19,16,2.0,37,29,0,270,7,4.0,5.6,0.0
1134,The Celebration ,1998,Drama,Danish,Denmark,R,105,1.33,1300000.0,1647780.0,Thomas Vinterberg,Ulrich Thomsen,Paprika Steen,Trine Dyrholm,346,280,278,141.0,821,5000,1,65951,258,98.0,8.1,347780.0
1135,The Faculty ,1998,Horror|Mystery|Sci-Fi,English,USA,R,104,1.85,15000000.0,40064955.0,Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall,0,4000,4000,1000.0,12170,0,1,92074,502,154.0,6.4,25064955.0
1136,The Horse Whisperer ,1998,Drama|Romance|Western,English,USA,PG-13,170,1.85,60000000.0,75370763.0,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,0,19000,1000,380.0,20683,0,0,32353,263,96.0,6.5,15370763.0
1137,The Land Girls ,1998,Drama|Romance|War,English,UK,R,111,2.35,3.0,146083.0,David Leland,Anna Friel,Catherine McCormack,Steven Mackintosh,2,735,306,227.0,1378,75,3,1591,27,36.0,6.3,146080.0
1138,The Love Letter ,1998,Fantasy|Romance,English,USA,Unrated,99,1.33,3.0,3.0,Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,45,1000,393,224.0,2166,515,1,1465,56,3.0,7.4,0.0
1139,The Love Letter ,1998,Fantasy|Romance,English,USA,Unrated,99,1.33,3.0,3.0,Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,45,1000,393,224.0,2166,515,1,1465,56,3.0,7.4,0.0
1140,The Magic Sword: Quest for Camelot ,1998,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,English,USA,G,86,1.85,40000000.0,22717758.0,Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle,7,10000,908,795.0,14275,0,0,11156,67,34.0,6.2,-17282242.0
1141,The Man in the Iron Mask ,1998,Action|Adventure,English,USA,PG-13,132,1.85,35000000.0,56876365.0,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,130,29000,130,80.0,29265,0,1,125219,244,83.0,6.4,21876365.0
1142,The Mask of Zorro ,1998,Action|Adventure|Comedy|Romance|Thriller|Western,English,USA,PG-13,136,2.35,65000000.0,93771072.0,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,258,12000,174,94.0,12396,0,0,135404,318,156.0,6.7,28771072.0
1143,The Mighty ,1998,Comedy|Drama,English,USA,PG-13,100,1.85,3.0,2643689.0,Peter Chelsom,Kieran Culkin,Elden Henson,Gena Rowlands,23,1000,577,545.0,2283,0,4,10499,113,57.0,7.3,2643686.0
1144,The Negotiator ,1998,Action|Crime|Drama|Mystery|Thriller,English,Germany,R,140,2.35,50000000.0,44484065.0,F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,473,18000,822,294.0,20152,3000,2,107227,279,68.0,7.3,-5515935.0
1145,The Newton Boys ,1998,Action|Crime|Drama|History|Western,English,USA,PG-13,123,2.35,27000000.0,10297897.0,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,0,11000,597,324.0,11969,315,4,8309,39,63.0,6.0,-16702103.0
1146,The Object of My Affection ,1998,Comedy|Drama|Romance,English,USA,R,111,1.85,15000000.0,29106737.0,Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,13,818,511,106.0,1450,849,0,15582,132,65.0,6.0,14106737.0
1147,The Players Club ,1998,Comedy|Drama,English,USA,R,104,1.85,4500000.0,23031390.0,Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,0,1000,597,498.0,2868,575,9,4345,26,22.0,5.6,18531390.0
1148,The Prince of Egypt ,1998,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,English,USA,PG,99,1.85,70000000.0,101217900.0,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,59,770,263,145.0,1195,0,2,91093,353,120.0,7.0,31217900.0
1149,The Red Violin ,1998,Drama|Music|Mystery|Romance,French,Canada,R,130,1.85,10000000.0,9473382.0,François Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,63,24,3,2.0,29,0,3,26832,247,94.0,7.7,-526618.0
1150,The Replacement Killers ,1998,Action|Crime|Thriller,English,USA,R,96,2.35,30000000.0,18967571.0,Antoine Fuqua,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,845,978,968,488.0,3072,629,2,23345,167,105.0,6.1,-11032429.0
1151,The Rugrats Movie ,1998,Adventure|Animation|Comedy|Drama|Family|Musical,English,USA,G,83,1.85,24000000.0,100491683.0,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,5,971,503,368.0,3438,418,0,14005,67,45.0,5.9,76491683.0
1152,The Siege ,1998,Action|Thriller,English,USA,R,116,2.35,70000000.0,40932372.0,Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,380,18000,13000,774.0,32563,0,0,58023,281,120.0,6.3,-29067628.0
1153,The Thin Red Line ,1998,Drama|War,English,USA,R,215,2.35,52000000.0,36385763.0,Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,0,648,568,463.0,1937,0,0,138941,1448,156.0,7.6,-15614237.0
1154,The Truman Show ,1998,Comedy|Drama|Sci-Fi,English,USA,PG,103,1.85,60000000.0,125603360.0,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,608,2000,617,576.0,3698,18000,1,667983,877,213.0,8.1,65603360.0
1155,The Velocity of Gary ,1998,Comedy|Drama|Romance,English,USA,R,100,2.35,4000000.0,3.0,Dan Ireland,Salma Hayek,Danny Arroyo,Olivia d'Abo,137,4000,575,476.0,5796,98,0,1555,40,19.0,5.0,-3999997.0
1156,The Waterboy ,1998,Comedy|Sport,English,USA,PG-13,90,1.85,20000000.0,161487252.0,Frank Coraci,Adam Sandler,Clint Howard,Peter Dante,153,11000,1000,427.0,13823,0,0,119450,300,108.0,6.1,141487252.0
1157,The X Files ,1998,Drama|Mystery|Sci-Fi|Thriller,English,USA,PG-13,121,2.35,66000000.0,83892374.0,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,38,940,826,745.0,4230,0,0,85720,297,142.0,7.0,17892374.0
1158,There's Something About Mary ,1998,Comedy|Romance,English,USA,R,107,1.85,23000000.0,176483808.0,Bobby Farrelly,Sarah Silverman,Lin Shaye,Richard Tyson,101,931,852,743.0,4664,0,1,247289,611,171.0,7.1,153483808.0
1159,Urban Legend ,1998,Horror|Mystery|Thriller,English,USA,R,99,2.35,14000000.0,38048637.0,Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,9,975,912,648.0,3500,0,4,47814,426,101.0,5.5,24048637.0
1160,Vampires ,1998,Action|Horror|Thriller,English,USA,R,104,2.35,20000000.0,20241395.0,John Carpenter,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,0,2000,1000,877.0,5123,0,0,42664,403,114.0,6.1,241395.0
1161,Velvet Goldmine ,1998,Drama|Music,English,UK,R,124,1.85,3.0,1043487.0,Todd Haynes,Christian Bale,Eddie Izzard,Janet McTeer,162,23000,776,277.0,24102,0,3,27766,314,103.0,7.0,1043484.0
1162,Very Bad Things ,1998,Comedy|Crime|Thriller,English,USA,R,100,1.85,10000000.0,9801782.0,Peter Berg,Jon Favreau,Daniel Stern,Jeanne Tripplehorn,532,4000,796,711.0,6046,0,0,39331,481,100.0,6.3,-198218.0
1163,Waking Ned Devine ,1998,Comedy,English,UK,PG,91,2.35,3000000.0,24788807.0,Kirk Jones,James Nesbitt,David Kelly,Fionnula Flanagan,52,773,588,482.0,1965,0,0,21245,213,94.0,7.4,21788807.0
1164,What Dreams May Come ,1998,Drama|Fantasy|Romance,English,USA,PG-13,113,2.35,85000000.0,55350897.0,Vincent Ward,Robin Williams,Annabella Sciorra,Rosalind Chao,25,49000,448,129.0,49631,32000,1,83560,619,121.0,7.0,-29649103.0
1165,Wild Things ,1998,Crime|Drama|Mystery|Thriller,English,USA,R,115,2.35,20000000.0,29753944.0,John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,39,13000,481,254.0,14275,0,3,90677,389,69.0,6.5,9753944.0
1166,Without Limits ,1998,Biography|Drama|Sport,English,USA,PG-13,117,2.35,25000000.0,777423.0,Robert Towne,Billy Burke,Monica Potter,Billy Crudup,162,2000,878,745.0,4351,942,0,5841,57,28.0,7.2,-24222577.0
1167,Woo ,1998,Comedy|Romance,English,USA,R,84,3.0,13000000.0,8026971.0,Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,18,1000,851,744.0,3352,204,0,1520,20,23.0,3.8,-4973029.0
1168,You've Got Mail ,1998,Comedy|Drama|Romance,English,USA,PG,119,1.85,65000000.0,115731542.0,Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,0,15000,793,744.0,17768,0,2,151812,556,153.0,6.5,50731542.0
1169,Zero Effect ,1998,Comedy|Crime|Drama|Mystery|Thriller,English,USA,R,116,1.85,5000000.0,1980338.0,Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,52,624,385,102.0,1209,507,2,12366,151,81.0,7.0,-3019662.0
1170,10 Things I Hate About You ,1999,Comedy|Drama|Romance,English,USA,PG-13,97,1.85,16000000.0,38176108.0,Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,19,23000,13000,835.0,37907,10000,6,222099,549,133.0,7.2,22176108.0
1171,200 Cigarettes ,1999,Comedy|Drama|Romance,English,USA,R,101,1.85,6000000.0,6851636.0,Risa Bramon Garcia,Janeane Garofalo,Dave Chappelle,Gaby Hoffmann,112,1000,744,612.0,2697,0,5,13010,182,67.0,5.9,851636.0
1172,8MM ,1999,Mystery|Thriller,English,Germany,R,123,2.35,40000000.0,36283504.0,Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,541,12000,638,173.0,12970,0,1,104564,587,138.0,6.5,-3716496.0
1173,A Dog of Flanders ,1999,Drama|Family,English,USA,PG,100,1.85,7000000.0,2148212.0,Kevin Brodie,Bruce McGill,Cheryl Ladd,Jack Warden,0,655,476,359.0,1906,157,0,781,20,25.0,6.3,-4851788.0
1174,A Room for Romeo Brass ,1999,Comedy|Drama,English,UK,R,90,1.85,3.0,18434.0,Shane Meadows,Bob Hoskins,Paddy Considine,Shane Meadows,222,5000,680,222.0,6111,484,2,4471,47,29.0,7.7,18431.0
1175,A Walk on the Moon ,1999,Drama,English,USA,R,107,1.85,14000000.0,4741987.0,Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,956,10000,233,113.0,10368,860,1,6782,114,47.0,6.6,-9258013.0
1176,Aimee & Jaguar ,1999,Biography|Drama|Romance|War,German,Germany,3,125,1.85,15000000.0,927107.0,Max Färberböck,Heike Makatsch,Johanna Wokalek,Maria Schrader,4,177,66,36.0,333,687,1,5153,51,63.0,7.3,-14072893.0
1177,American Beauty ,1999,Drama,English,USA,R,122,2.35,15000000.0,130058047.0,Sam Mendes,Kevin Spacey,Peter Gallagher,Ara Celi,0,18000,828,158.0,19078,22000,0,822500,2715,176.0,8.4,115058047.0
1178,American Pie ,1999,Comedy,English,USA,R,95,1.85,11000000.0,101736215.0,Paul Weitz,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,80,3000,1000,1000.0,8134,0,6,315549,789,145.0,7.0,90736215.0
1179,An Ideal Husband ,1999,Comedy|Romance,English,UK,PG-13,97,1.85,14000000.0,18535191.0,Oliver Parker,Minnie Driver,Rupert Everett,Jeremy Northam,32,893,692,327.0,2640,646,3,12980,132,105.0,6.9,4535191.0
1180,Analyze This ,1999,Comedy|Crime,English,USA,R,103,1.85,30000000.0,106694016.0,Harold Ramis,Robert De Niro,Chazz Palminteri,Molly Shannon,11000,22000,979,636.0,24333,0,2,123940,337,145.0,6.7,76694016.0
1181,Angela's Ashes ,1999,Drama,English,USA,R,145,1.85,25000000.0,13038660.0,Alan Parker,Emily Watson,Devon Murray,Pauline McLynn,317,876,219,70.0,1282,0,1,16995,163,99.0,7.3,-11961340.0
1182,Anna and the King ,1999,Drama|History|Romance,English,USA,PG-13,148,2.35,75000000.0,39251128.0,Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,72,582,103,99.0,804,0,2,31080,217,91.0,6.7,-35748872.0
1183,Any Given Sunday ,1999,Drama|Sport,English,USA,R,156,2.35,55000000.0,75530832.0,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,0,14000,2000,1000.0,20761,0,5,97047,452,171.0,6.8,20530832.0
1184,Anywhere But Here ,1999,Comedy|Drama,English,USA,PG-13,114,2.35,23000000.0,18653615.0,Wayne Wang,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,61,20000,797,407.0,22040,638,2,14786,103,36.0,6.1,-4346385.0
1185,Arlington Road ,1999,Crime|Drama|Thriller,English,USA,R,117,2.35,21500000.0,24362501.0,Mark Pellington,Jeff Bridges,Spencer Treat Clark,Hope Davis,89,12000,541,442.0,13576,0,1,69980,591,155.0,7.2,2862501.0
1186,At First Sight ,1999,Drama|Romance,English,USA,PG-13,128,1.85,60000000.0,22326247.0,Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber,34,978,886,685.0,3821,0,1,11232,106,55.0,5.9,-37673753.0
1187,Austin Powers: The Spy Who Shagged Me ,1999,Action|Adventure|Comedy|Crime,English,USA,PG-13,95,2.35,33000000.0,205399422.0,Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,116,45000,645,481.0,47203,0,1,181225,784,199.0,6.6,172399422.0
1188,Baby Geniuses ,1999,Comedy|Crime|Family|Sci-Fi,English,USA,PG,97,1.85,18000000.0,27141959.0,Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,84,899,842,782.0,2936,0,2,19547,168,45.0,2.5,9141959.0
1189,Bats ,1999,Horror|Sci-Fi|Thriller,English,USA,PG-13,91,2.35,6500000.0,10149779.0,Louis Morneau,Leon,Bob Gunton,Ned Bellamy,38,730,461,91.0,1405,342,0,8294,160,97.0,3.6,3649779.0
1190,Being John Malkovich ,1999,Comedy|Drama|Fantasy,English,USA,R,112,1.85,13000000.0,22858926.0,Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,0,512,216,213.0,1171,0,2,254404,840,242.0,7.8,9858926.0
1191,Beyond the Mat ,1999,Biography|Documentary|Sport,English,USA,R,108,1.85,500000.0,2047570.0,Barry W. Blaustein,Terry Funk,Vince McMahon,Mick Foley,6,54,44,43.0,194,491,3,6790,80,70.0,7.6,1547570.0
1192,Bicentennial Man ,1999,Comedy|Drama|Sci-Fi,English,USA,PG,132,1.85,100000000.0,58220776.0,Chris Columbus,Robin Williams,Oliver Platt,John Michael Higgins,0,49000,1000,957.0,55254,0,0,87785,362,93.0,6.8,-41779224.0
1193,Big Daddy ,1999,Comedy|Drama,English,USA,PG-13,93,1.85,34200000.0,163479795.0,Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,221,12000,11000,781.0,26760,0,0,161858,289,112.0,6.4,129279795.0
1194,Blast from the Past ,1999,Comedy|Drama|Romance|Sci-Fi,English,USA,PG-13,112,2.35,35000000.0,26494611.0,Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,37,3000,874,480.0,5709,0,0,48621,239,95.0,6.6,-8505389.0
1195,Blue Streak ,1999,Action|Comedy|Crime|Thriller,English,USA,PG-13,93,1.85,65000000.0,68208190.0,Les Mayfield,Peter Greene,Dave Chappelle,Tamala Jones,10,789,744,405.0,2986,0,1,60572,144,40.0,6.3,3208190.0
1196,Bowfinger ,1999,Comedy,English,USA,PG-13,85,1.37,55000000.0,66365290.0,Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,0,21000,860,490.0,22458,0,2,56874,358,140.0,6.4,11365290.0
1197,Boys Don't Cry ,1999,Biography|Crime|Drama|Romance,English,USA,R,118,1.85,2000000.0,11533945.0,Kimberly Peirce,Alicia Goranson,Brendan Sexton III,Jeannetta Arnette,108,173,148,103.0,563,0,0,77551,434,123.0,7.6,9533945.0
1198,Breakfast of Champions ,1999,Comedy,English,USA,R,110,1.85,12000000.0,175370.0,Alan Rudolph,Bruce Willis,Albert Finney,Omar Epps,18,13000,883,865.0,17417,458,1,6884,133,42.0,4.6,-11824630.0
1199,Bringing Out the Dead ,1999,Drama|Thriller,English,USA,R,121,2.35,55000000.0,16640210.0,Martin Scorsese,Nicolas Cage,Marc Anthony,Sonja Sohn,17000,12000,368,245.0,13040,0,0,53028,382,163.0,6.8,-38359790.0
1200,Brokedown Palace ,1999,Drama|Mystery|Thriller,English,USA,PG-13,100,2.35,25000000.0,10114315.0,Jonathan Kaplan,John Doe,Tom Amandes,Daniel Lapaine,57,181,151,92.0,582,0,0,18693,187,70.0,6.4,-14885685.0
1201,But I'm a Cheerleader ,1999,Comedy|Drama,English,USA,R,85,1.85,1200000.0,2199853.0,Jamie Babbit,Natasha Lyonne,Clea DuVall,Eddie Cibrian,91,1000,1000,849.0,4289,0,1,19986,186,99.0,6.6,999853.0
1202,Chill Factor ,1999,Action|Adventure|Comedy|Drama|Thriller,English,USA,R,102,2.35,34000000.0,11227940.0,Hugh Johnson,David Paymer,Kevin J. O'Connor,Hudson Leick,3,372,248,239.0,1274,120,0,8367,94,68.0,5.2,-22772060.0
1203,Cradle Will Rock ,1999,Drama,English,USA,R,132,2.35,32000000.0,2899970.0,Tim Robbins,Bill Murray,Vanessa Redgrave,Emily Watson,0,13000,898,876.0,16878,625,2,8039,161,70.0,6.9,-29100030.0
1204,Crazy in Alabama ,1999,Comedy|Crime|Drama,English,USA,PG-13,111,2.35,15000000.0,1954202.0,Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich,0,783,664,617.0,4834,391,0,5917,71,28.0,6.3,-13045798.0
1205,Cruel Intentions ,1999,Drama|Romance,English,USA,R,97,1.85,10500000.0,38201895.0,Roger Kumble,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,16,4000,656,637.0,6223,0,3,149222,749,101.0,6.9,27701895.0
1206,Deep Blue Sea ,1999,Action|Sci-Fi|Thriller,English,USA,R,105,2.35,60000000.0,73648142.0,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,212,1000,975,811.0,3697,0,1,99043,643,199.0,5.8,13648142.0
1207,Deterrence ,1999,Drama|Thriller,English,France,R,104,1.85,800000.0,144583.0,Rod Lurie,Kevin Pollak,Kathryn Morris,Timothy Hutton,37,574,573,501.0,1983,130,0,2256,79,29.0,6.5,-655417.0
1208,Detroit Rock City ,1999,Comedy|Music,English,USA,R,95,2.35,15000000.0,4193025.0,Adam Rifkin,Natasha Lyonne,Lin Shaye,Shannon Tweed,89,1000,852,322.0,2518,0,0,30682,194,42.0,6.8,-10806975.0
1209,Deuce Bigalow: Male Gigolo ,1999,Comedy|Romance,English,USA,R,88,1.85,17000000.0,65535067.0,Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,31,1000,489,489.0,2604,0,1,59380,202,91.0,5.7,48535067.0
1210,Dick ,1999,Comedy,English,France,PG-13,94,1.85,13000000.0,6241697.0,Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,26,16000,8000,4000.0,31005,0,2,16059,210,81.0,6.1,-6758303.0
1211,Dogma ,1999,Adventure|Comedy|Drama|Fantasy,English,USA,R,130,2.35,10000000.0,30651422.0,Kevin Smith,Matt Damon,Janeane Garofalo,George Carlin,0,13000,1000,769.0,16693,10000,8,181737,1015,206.0,7.4,20651422.0
1212,Double Jeopardy ,1999,Crime|Mystery|Thriller,English,USA,R,105,2.35,70000000.0,116735231.0,Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,78,984,489,298.0,2129,0,0,56646,336,129.0,6.4,46735231.0
1213,Doug's 1st Movie ,1999,Animation|Comedy|Family,English,USA,G,77,1.33,5000000.0,19421271.0,Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,0,2000,804,73.0,2908,122,1,2448,18,28.0,5.0,14421271.0
1214,Dreaming of Joseph Lees ,1999,Drama|Romance,English,USA,R,92,3.0,2000000.0,7680.0,Eric Styles,Samantha Morton,Rupert Graves,Miriam Margolyes,4,631,443,405.0,2020,100,0,704,18,16.0,6.4,-1992320.0
1215,Drive Me Crazy ,1999,Comedy|Drama|Romance,English,USA,PG-13,91,1.85,8000000.0,17843379.0,John Schultz,Stephen Collins,Mark Webber,Keri Lynn Pratt,13,452,442,292.0,1760,0,2,14904,147,59.0,5.7,9843379.0
1216,Drop Dead Gorgeous ,1999,Comedy|Romance|Thriller,English,Germany,PG-13,97,1.85,10000000.0,10561238.0,Michael Patrick Jann,Kirsten Dunst,Kirstie Alley,Ellen Barkin,31,4000,980,551.0,6388,0,0,27265,321,77.0,6.5,561238.0
1217,Dudley Do-Right ,1999,Comedy|Family|Romance,English,USA,PG,77,2.35,22000000.0,9694105.0,Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,37,3000,968,795.0,5568,272,0,8176,77,41.0,3.8,-12305895.0
1218,East Is East ,1999,Comedy|Drama,English,UK,R,96,1.85,1900000.0,4170647.0,Damien O'Donnell,Archie Panjabi,Jimi Mistry,Om Puri,70,883,183,163.0,1616,1000,0,14548,161,82.0,6.9,2270647.0
1219,Edtv ,1999,Comedy|Drama,English,USA,PG-13,122,1.85,55000000.0,22362500.0,Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,2000,11000,1000,1000.0,15275,641,0,35599,195,115.0,6.1,-32637500.0
1220,Election ,1999,Comedy|Drama,English,USA,R,103,2.35,8000000.0,14879556.0,Alexander Payne,Matthew Broderick,Chris Klein,Molly Hagan,729,2000,841,133.0,3516,0,0,73640,441,175.0,7.3,6879556.0
1221,End of Days ,1999,Action|Fantasy|Horror|Mystery,English,USA,R,121,2.35,83000000.0,66862068.0,Peter Hyams,CCH Pounder,Mark Margolis,Udo Kier,0,1000,1000,595.0,3903,2000,0,89509,524,174.0,5.7,-16137932.0
1222,Entrapment ,1999,Action|Crime|Romance|Thriller,English,USA,PG-13,113,2.35,66000000.0,87704396.0,Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,36,537,427,232.0,1302,0,1,88132,274,138.0,6.2,21704396.0
1223,eXistenZ ,1999,Horror|Sci-Fi|Thriller,English,Canada,R,115,1.85,31000000.0,2840417.0,David Cronenberg,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,0,1000,900,716.0,2990,6000,0,77493,527,196.0,6.8,-28159583.0
1224,Eye of the Beholder ,1999,Drama|Mystery|Thriller,English,Canada,R,109,2.35,15000000.0,16459004.0,Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold,11,471,308,159.0,1069,327,1,13320,415,88.0,4.9,1459004.0
1225,Eyes Wide Shut ,1999,Drama|Mystery|Thriller,English,UK,R,159,1.66,65000000.0,55637680.0,Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,0,10000,580,521.0,11424,10000,1,227071,1500,280.0,7.3,-9362320.0
